type,condition1,condition2,condition3,trialNo,target,stim1,stim2,key,ITI,presTime,ISI,presTimeS2,stimFormat,title,content,trialText,button1,feedbackIncorrect,feedbackTime,random,keyboard,subjectGroup,responseWindow,randomBlock
instructions,na,na,na,na,na,na,na, ,600,na,na,na,na,Instructions,"In this study, we'd like you to make judgments about whether certain statements are true or false. To indicate that something is false, you'll press the [f] key. To indicate that something is true, please press the [j] key. To get you used to this, you will first go through a warm-up phase. On these trials, press [f] if you see the word ""False"" and [j] if you see the word ""True.""",na,na,na,na,na, ,na,na,na
practice,na,na,na,1,FALSE,na,na,f,600,na,na,na,word,That's not right! False is [f],na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,2,TRUE,na,na,j,600,na,na,na,word,That's not right! True is [j] ,na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,3,FALSE,na,na,f,600,na,na,na,word,That's not right! False is [f],na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,4,TRUE,na,na,j,600,na,na,na,word,That's not right! True is [j] ,na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,5,FALSE,na,na,f,600,na,na,na,word,That's not right! False is [f],na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,6,TRUE,na,na,j,600,na,na,na,word,That's not right! True is [j] ,na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,7,FALSE,na,na,f,600,na,na,na,word,That's not right! False is [f],na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,8,TRUE,na,na,j,600,na,na,na,word,That's not right! True is [j] ,na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,9,FALSE,na,na,f,600,na,na,na,word,That's not right! False is [f],na,na,na, ,1000,1,f j,na,na,na
practice,na,na,na,10,TRUE,na,na,j,600,na,na,na,word,That's not right! True is [j] ,na,na,na, ,1000,1,f j,na,na,na
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,"In this part of the study, you will be shown 24 short stories about different people and then you will have to answer a question about the story you read.","***Please pay very close attention and answer as quickly and accurately as you possibly can. If you don't respond within 5 seconds, we will go to the next question.***",na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,"Before starting there will be two practice examples of the sort of task you'll be doing. Remember, you'll have to read and respond quickly.",Press [Next] to begin and then place your fingers on the [f] and [j] keys.,na,na,na,na,na, ,na,na,na
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Kevin is out grocery shopping at the local market. His wife told him to get sourdough bread and pasta for dinner that evening.,na,na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"At the market, Kevin picks up some pasta, but he cannot find any sourdough bread anywhere. He looks up and down every aisle and then finally asks someone who works at the market.",na,na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,It turns out that the bakery at the market no longer makes sourdough bread because it was never very popular. ,na,na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Kevin goes home without bread of any kind. His wife is slightly annoyed. ,na,na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na, ,600,1000,na,na,na,True or False?,na,na,na,na,na,na,na,na,na,na
practice,na,na,na,1,Kevin asked someone at the store if they sold bread.,na,na,j,600,na,na,na,word,That's not right! Please read more carefully! ,na,na,na,na,5000,na,fj,na,5000,na
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,"Okay, one more practice example.",Press [Next] to begin and then place your fingers on the [f] and [j] keys.,na,na,na,na,na, ,na,na,na
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Sara's younger sister is late for dance class. Sara has a scooter that she could lend her sister for the afternoon.,na,na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,The scooter is brand-new and will get Sara's sister to her dance class right on time. But Sara wants to use her scooter to get to her friend's house for dinner later on.,na,na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Sara doesn't think that her sister's dance class will be over in time for her to also be able to use the scooter to get to dinner.,na,na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Sara doesn't lend the scooter to her sister. Her sister walks to dance class and is late.,na,na,na,na,na,na,na,na,na,na
instructions,na,na,na,na,na,na,na, ,600,1000,na,na,na,True or False?,na,na,na,na,na,na,na,na,na,na
practice,na,na,na,1,Sara wanted to take her scooter to the park.,na,na,f,600,na,na,na,word,That's not right! Please read more carefully! ,na,na,na,na,5000,na,fj,na,5000,na
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,"Okay, that's it. Now we'll start the actual study. Get ready!",***Remember that you will have to read and respond quickly***,na,na,na,na,na, ,na,na,na
instructions,na,na,na,na,na,na,na, ,600,na,na,na,na,Get ready for the next story.,Press [Next] to begin and then place your fingers on the [f] and [j] keys.,na,na,na,na,na,na,1,na,1
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,John is a New Yorker who is on his lunch break at his favorite restaurant. He eats there every day.,na,na,na,na,na,na,na,1,na,1
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"After finishing his meal he decides to go to the bathroom, just like he does every day at the end of lunch.",na,na,na,na,na,na,na,1,na,1
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"He pays his bill, gives a generous tip, and walks to the building next door to find the bathroom.",na,na,na,na,na,na,na,1,na,1
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,The bathroom is in the building next door. John walks in and heads to his favorite stall.,na,na,na,na,na,na,na,1,na,1
instructions,na,na,na,na,na,na,na, ,600,1000,na,na,na,True or False?,na,na,na,na,na,na,na,1,na,1
test,Knows,TB,1,na,John knows the bathroom is in the building next door.,na,na,j,600,na,na,na,word,na,na,na,na,na,5000,na,fj,1,5000,1
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,Get ready for the next story.,Press [Next] to begin and then place your fingers on the [f] and [j] keys.,na,na,na,na,na, ,1,na,2
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Simon cannot wait to find out what his parents are giving him for his birthday tomorrow. He looks all over the house for his present.,na,na,na,na,na,na,na,1,na,2
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"In the back of his parents' closet, Simon finds the pair of shoes that he told his parents that he wanted earlier that month.",na,na,na,na,na,na,na,1,na,2
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"He is so excited to find the pair of shoes. It's just what he wanted, and he can't wait to wear them.",na,na,na,na,na,na,na,1,na,2
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Simon's uncle actually had just left his new pair of shoes in the closet. Simon's parents actually bought him a video game for his birthday.,na,na,na,na,na,na,na,1,na,2
instructions,na,na,na,na,na,na,na, ,600,1000,na,na,na,True or False?,na,na,na,na,na,na,na,1,na,2
test,Thinks,FB,2,na,Simon thinks he is getting a video game for his birthday.,na,na,f,600,na,na,na,word,na,na,na,na,na,5000,na,fj,1,5000,2
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,Get ready for the next story.,Press [Next] to begin and then place your fingers on the [f] and [j] keys.,na,na,na,na,na, ,1,na,3
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Genie is shopping at the local mall. She finds a blue blouse that she likes a lot.,na,na,na,na,na,na,na,1,na,3
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Genie sees that there is no price tag on the blouse. Genie likes the blouse so much that she doesn't care about the price.,na,na,na,na,na,na,na,1,na,3
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Genie tries on the blouse and it fits. She stands in the back of a long line to purchase the blouse.,na,na,na,na,na,na,na,1,na,3
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"Genie leaves the store because of the long line. The blouse is actually on sale for $22.22, although it used to be much more expensive.",na,na,na,na,na,na,na,1,na,3
instructions,na,na,na,na,na,na,na, ,600,1000,na,na,na,True or False?,na,na,na,na,na,na,na,1,na,3
test,Knows,IG,3,na,Genie knows the blouse costs $22.22.,na,na,f,600,na,na,na,word,na,na,na,na,na,5000,na,fj,1,5000,3
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,Get ready for the next story.,Press [Next] to begin and then place your fingers on the [f] and [j] keys.,na,na,na,na,na, ,1,na,4
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"Every day before school, Mike's mother packs him lunch in his red lunch box. Sometimes she puts a special dessert in the lunchbox.",na,na,na,na,na,na,na,1,na,4
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"Today before school, Mike sees his mother put a piece of chocolate cake in his lunch box.",na,na,na,na,na,na,na,1,na,4
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Mike works hard in class all morning long and is really looking forward to having a break for lunch.,na,na,na,na,na,na,na,1,na,4
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,The chocolate cake that his mother packed him sits in his lunch box all morning. Soon he'll get to eat it.,na,na,na,na,na,na,na,1,na,4
instructions,na,na,na,na,na,na,na, ,600,1000,na,na,na,True or False?,na,na,na,na,na,na,na,1,na,4
test,Thinks,TB,4,na,Mike thinks there is chocolate cake in his lunchbox.,na,na,j,600,na,na,na,word,na,na,na,na,na,5000,na,fj,1,5000,4
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,Get ready for the next story.,Press [Next] to begin and then place your fingers on the [f] and [j] keys.,na,na,na,na,na, ,1,na,5
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,Ed is an American who took German classes in highschool. He's eating at a restaurant in Berlin and wants to order a sausage.,na,na,na,na,na,na,na,1,na,5
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"Ed was taught in high school that the German word for sausage is ""Speisekarte"" He looks at the menu and sees the word ""Speisekarte.""",na,na,na,na,na,na,na,1,na,5
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"Ed calls the waiter over, says he would like to order and points to ""Speisekarte"" on the menu.",na,na,na,na,na,na,na,1,na,5
instructions,na,na,na,na,na,na,na, ,600,4500,na,na,na,"The waiter takes down Ed's order and goes to the kitchen. The German word for sausage is actually ""Wurst.""",na,na,na,na,na,na,na,1,na,5
instructions,na,na,na,na,na,na,na, ,600,1000,na,na,na,True or False?,na,na,na,na,na,na,na,1,na,5
test,Knows,FB,5,na,"Ed knows the German word for sausage is ""Wurst.""",na,na,f,600,na,na,na,word,na,na,na,na,na,5000,na,fj,1,5000,5
instructions,na,na,na,na,na,na,na,,600,na,na,na,na,Get ready for the next story.,Press [Next] to begin and then place your fingers on the [f] and [j] keys.,na,na,na,na,na, ,1,na,6
